"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 29, 74
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/components.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/eslint.config.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 6, 49
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/package-lock.json", "JSON", 0, 0, 0, 0, 0, 8168, 0, 0, 0, 0, 0, 1, 8169
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/package.json", "JSON", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 92
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/public/placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/App.css", "PostCSS", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/App.tsx", "TypeScript JSX", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 134
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/NavLink.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/auth/EmailVerificationBanner.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 94
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/auth/ForgotPasswordDialog.tsx", "TypeScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 156
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/auth/PasswordStrengthIndicator.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 102
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/auth/ProtectedRoute.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 39
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/auth/TwoFactorSetup.tsx", "TypeScript JSX", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 366
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/client-portal/ClientPortalActivity.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/client-portal/ClientPortalEstimate.tsx", "TypeScript JSX", 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 281
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/client-portal/ClientPortalHeader.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 96
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/client-portal/ClientPortalPhotos.tsx", "TypeScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 109
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/client-portal/ClientPortalSchedule.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/clients/ClientSelector.tsx", "TypeScript JSX", 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 276
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/dashboard/DashboardStatCards.tsx", "TypeScript JSX", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 100
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/dashboard/SectionHeader.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/dashboard/StatCard.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/features/FeaturePlaceholder.tsx", "TypeScript JSX", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 173
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/features/PlanGate.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 98
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/AddJobDialog.tsx", "TypeScript JSX", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 254
